lib,trial,test_group,type,region,thread_ms,real_ms,iters,total_cpu_ms,total_real_ms,soft_faults,hard_faults
lua,13,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.132,0.129,1000,,,
lua,13,loop,perf,Close,0.153,0.211,1,,,
lua,13,loop,function,parse multiple values of the same table,,,1,3.812,4.166,91,0
confh,14,loop,perf,Open,1.268,1.280,1,,,
confh,14,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.686,1.698,1000,,,
confh,14,loop,perf,Close,0.110,0.110,1,,,
confh,14,loop,function,parse multiple values of the same table,,,1,6.690,6.904,94,0
lua,14,loop,perf,Open,1.457,1.475,1,,,
lua,14,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.118,0.118,1000,,,
lua,14,loop,perf,Close,0.143,0.176,1,,,
lua,14,loop,function,parse multiple values of the same table,,,1,3.946,4.236,91,0
confh,15,loop,perf,Open,1.275,1.286,1,,,
confh,15,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.762,1.778,1000,,,
confh,15,loop,perf,Close,0.154,0.154,1,,,
confh,15,loop,function,parse multiple values of the same table,,,1,6.691,6.936,92,0
lua,15,loop,perf,Open,1.250,1.267,1,,,
lua,15,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.108,0.108,1000,,,
lua,15,loop,perf,Close,0.110,0.110,1,,,
lua,15,loop,function,parse multiple values of the same table,,,1,3.440,3.595,90,0
confh,16,loop,perf,Open,1.309,1.337,1,,,
confh,16,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.395,1.410,1000,,,
confh,16,loop,perf,Close,0.092,0.093,1,,,
confh,16,loop,function,parse multiple values of the same table,,,1,5.729,6.009,92,0
lua,16,loop,perf,Open,1.320,1.357,1,,,
lua,16,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.097,0.097,1000,,,
lua,16,loop,perf,Close,0.086,0.086,1,,,
lua,16,loop,function,parse multiple values of the same table,,,1,2.883,3.112,91,0
confh,17,loop,perf,Open,1.392,1.408,1,,,
confh,17,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.344,1.353,1000,,,
confh,17,loop,perf,Close,0.102,0.102,1,,,
confh,17,loop,function,parse multiple values of the same table,,,1,6.044,6.344,93,0
lua,17,loop,perf,Open,1.439,1.469,1,,,
lua,17,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.112,0.112,1000,,,
lua,17,loop,perf,Close,0.103,0.103,1,,,
lua,17,loop,function,parse multiple values of the same table,,,1,3.433,3.688,90,0
confh,18,loop,perf,Open,1.196,1.209,1,,,
confh,18,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,2.138,2.153,1000,,,
confh,18,loop,perf,Close,0.143,0.143,1,,,
confh,18,loop,function,parse multiple values of the same table,,,1,7.521,7.864,91,0
lua,18,loop,perf,Open,1.434,1.458,1,,,
lua,18,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.110,0.117,1000,,,
lua,18,loop,perf,Close,0.110,0.110,1,,,
lua,18,loop,function,parse multiple values of the same table,,,1,3.706,3.910,91,0
confh,19,loop,perf,Open,1.508,1.532,1,,,
confh,19,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.852,1.870,1000,,,
confh,19,loop,perf,Close,0.126,0.126,1,,,
confh,19,loop,function,parse multiple values of the same table,,,1,7.527,7.788,92,0
lua,19,loop,perf,Open,1.248,1.258,1,,,
lua,19,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.121,0.122,1000,,,
lua,19,loop,perf,Close,0.113,0.113,1,,,
lua,19,loop,function,parse multiple values of the same table,,,1,3.539,3.739,90,0
confh,20,loop,perf,Open,1.253,1.260,1,,,
confh,20,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.296,1.301,1000,,,
confh,20,loop,perf,Close,0.083,0.083,1,,,
confh,20,loop,function,parse multiple values of the same table,,,1,5.365,5.570,92,0
lua,20,loop,perf,Open,1.221,1.232,1,,,
lua,20,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.108,0.108,1000,,,
lua,20,loop,perf,Close,0.109,0.109,1,,,
lua,20,loop,function,parse multiple values of the same table,,,1,3.424,3.635,90,0
confh,21,loop,perf,Open,1.342,1.355,1,,,
confh,21,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.273,1.281,1000,,,
confh,21,loop,perf,Close,0.095,0.095,1,,,
confh,21,loop,function,parse multiple values of the same table,,,1,6.171,6.420,91,0
lua,21,loop,perf,Open,1.268,1.289,1,,,
lua,21,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.111,0.111,1000,,,
lua,21,loop,perf,Close,0.100,0.100,1,,,
lua,21,loop,function,parse multiple values of the same table,,,1,3.408,3.664,90,0
confh,22,loop,perf,Open,1.218,1.228,1,,,
confh,22,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.303,1.307,1000,,,
confh,22,loop,perf,Close,0.082,0.082,1,,,
confh,22,loop,function,parse multiple values of the same table,,,1,5.378,5.618,91,0
lua,22,loop,perf,Open,1.485,1.521,1,,,
lua,22,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.113,0.113,1000,,,
lua,22,loop,perf,Close,0.106,0.106,1,,,
lua,22,loop,function,parse multiple values of the same table,,,1,3.784,4.046,91,0
confh,23,loop,perf,Open,1.284,1.304,1,,,
confh,23,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.967,2.013,1000,,,
confh,23,loop,perf,Close,0.091,0.091,1,,,
confh,23,loop,function,parse multiple values of the same table,,,1,6.907,7.191,93,0
